satellite,baseline,column,rmse,mae,res_mean,res_std,sw_w,sw_p,h0_rejected
MEO1,Persistence,z_error,0.2876545541854177,0.27195762416666663,0.13344309049999997,0.2548295197606043,0.8435100340500821,0.13935381216845744,0.0
MEO1,Persistence,clock_error,0.29286134743582826,0.2771753405,-0.2771753405,0.09456003088323288,0.9387490726127546,0.6491363640168708,0.0
MEO1,Persistence,AVERAGED,0.4265849794909141,0.3890857994166666,0.07016079333333335,0.21053490094541855,0.8873919259703156,0.37283930073243426,0.0
MEO1,Linear Extrap,x_error,1.2733470550689496,1.2706278675885578,1.2706278675885578,0.0831717786278559,0.8674414366903496,0.2161954813302266,0.0
MEO1,Linear Extrap,y_error,3.7362039874982087,3.7320338804803552,3.7320338804803552,0.1764747889763671,0.8597024096902233,0.1881474764349595,0.0
MEO1,Linear Extrap,z_error,4.821810324623201,4.791685388837313,-4.791685388837313,0.5381504817854502,0.8965315501788872,0.3538343365139519,0.0
MEO1,Linear Extrap,clock_error,0.8139256541596918,0.8072824495901015,-0.8072824495901015,0.1037786928183583,0.9279624534547414,0.564461359640793,0.0
MEO1,Linear Extrap,AVERAGED,2.661321755337513,2.6504073966240815,-0.14907652258962525,0.22539393555200787,0.8879094625035503,0.33065966347998277,0.0
MEO1,Training Mean,x_error,0.11362449581861359,0.07421443511956517,-0.0658445652626811,0.09260139996459375,0.8375064297227617,0.1242920571347283,0.0
MEO1,Training Mean,y_error,0.49823970072224083,0.4400272106231884,-0.29685662320289846,0.4001486531732432,0.9298021674956645,0.5785749696096825,0.0
MEO1,Training Mean,z_error,0.597242423537603,0.5401485243260868,0.5401485243260868,0.25482951976060425,0.8435100340500816,0.1393538121684561,0.0
MEO1,Training Mean,clock_error,0.10078543993328379,0.07190988283333333,-0.03487270367934784,0.09456003088323288,0.9387490726127546,0.6491363640168708,0.0
MEO1,Training Mean,AVERAGED,0.3274730150029353,0.28157501322554346,0.03564365804528986,0.21053490094541852,0.8873919259703156,0.37283930073243443,0.0
MEO2,Persistence,x_error,0.32028296716533367,0.23278843755555562,-0.22789107366666672,0.22504852276627835,0.8556226419250206,0.010400070682285252,1.0
MEO2,Persistence,y_error,0.10788434019272256,0.10146418516666666,0.09293720605555555,0.054787832494143256,0.8659019033567243,0.015241521570169949,1.0
MEO2,Persistence,z_error,0.2151562717014696,0.13097058683333332,0.01524387816666666,0.21461557592802166,0.8039545436670795,0.001728290511124583,1.0
MEO2,Persistence,clock_error,0.05232630559827332,0.0354320195,0.011370283944444441,0.05107601100895213,0.7090220316439342,0.00010186264351233826,1.0
MEO2,Persistence,AVERAGED,0.17391247116444977,0.1251638072638889,-0.02708492637500002,0.13638198554934886,0.8086252801481897,0.006867936351773031,1.0
MEO2,Linear Extrap,x_error,0.7560284423592158,0.7146575019556333,-0.7146575019556333,0.2466650776957213,0.8845103848705368,0.03110929607810521,1.0
MEO2,Linear Extrap,y_error,1.3968906522539646,1.3897397440435406,-1.3897397440435406,0.14116280735484432,0.9457882347492285,0.36281080959873546,0.0
MEO2,Linear Extrap,z_error,1.6937618965692662,1.6816354823145288,1.6816354823145288,0.20231526608414868,0.7924455834518881,0.0011903688482138924,1.0
MEO2,Linear Extrap,clock_error,0.21234827513672708,0.20609336779077264,0.20609336779077264,0.05115968829264371,0.8424371804080503,0.0064499557154551225,1.0
MEO2,Linear Extrap,AVERAGED,1.0147573165797934,0.9980315240261188,-0.05416709897346815,0.16032570985683953,0.8662953458699258,0.10039010756012742,0.75
MEO2,Training Mean,x_error,0.2414550546354112,0.1712964985322455,-0.08748546056177157,0.22504852276627835,0.8556226419250206,0.010400070682285252,1.0
MEO2,Training Mean,y_error,0.05703578713125418,0.039608852599456096,-0.015854791839549336,0.054787832494143256,0.8659019033567243,0.015241521570169949,1.0
MEO2,Training Mean,z_error,0.23091677470959335,0.14660559113947164,0.08522154311771563,0.21461557592802163,0.8039545436670795,0.001728290511124583,1.0
MEO2,Training Mean,clock_error,0.052045900757189276,0.0291710042024087,-0.010000844216394718,0.05107601100895213,0.7090220316439342,0.00010186264351233826,1.0
MEO2,Training Mean,AVERAGED,0.14536337930836202,0.09667048661839547,-0.007029888375000001,0.13638198554934883,0.8086252801481897,0.006867936351773031,1.0
